"AIRPORT_SEQ_ID","AIRPORT_ID","AIRPORT","DISPLAY_AIRPORT_NAME","DISPLAY_AIRPORT_CITY_NAME_FULL","AIRPORT_COUNTRY_NAME","AIRPORT_STATE_NAME","AIRPORT_STATE_FIPS","CITY_MARKET_ID","DISPLAY_CITY_MARKET_NAME_FULL","LATITUDE","LONGITUDE","AIRPORT_IS_LATEST",
1623002,16230,"YVT","Buffalo Narrows Airport","Buffalo Narrows, Canada","Canada","Saskatchewan","",36230,"Buffalo Narrows, Canada",55.84194444,-108.41750000,1,
1623101,16231,"YWB","Kangiqsujuaq Wakeham Bay","Kangiqsujuaq, Canada","Canada","Quebec","",36231,"Kangiqsujuaq, Canada",61.58861111,-71.92944444,1,
1623201,16232,"YWG","James Armstrong Richardson International","Winnipeg, Canada","Canada","Manitoba","",36232,"Winnipeg, Canada",49.90000000,-97.23333333,0,
1623202,16232,"YWG","James Armstrong Richardson International","Winnipeg, Canada","Canada","Manitoba","",36232,"Winnipeg, Canada",49.91000000,-97.24000000,1,
1623301,16233,"YWH","Victoria Inner Harbour","Victoria, Canada","Canada","British Columbia","",36233,"Victoria, Canada",48.42277778,-123.38750000,1,
1623401,16234,"YWJ","Fort Franklin Ice Strip","Fort Franklin, Canada","Canada","Northwest Territories","",36234,"Fort Franklin, Canada",65.19250000,-123.42888889,0,
1623402,16234,"YWJ","Deline Airport","Deline, Canada","Canada","Northwest Territories","",36234,"Deline, Canada",65.21222222,-123.44916667,0,
1623403,16234,"YWJ","Deline Airport","Deline, Canada","Canada","Northwest Territories","",36234,"Deline, Canada",65.21111111,-123.43638889,1,
1623501,16235,"YWK","Wabush Airport","Wabush, Canada","Canada","Newfoundland and Labrador","",36235,"Wabush, Canada",52.92250000,-66.87500000,0,
1623502,16235,"YWK","Wabush Airport","Wabush, Canada","Canada","Newfoundland and Labrador","",36235,"Wabush, Canada",52.92277778,-66.86472222,1,
1623601,16236,"YWL","Williams Lake Airport","Williams Lake, Canada","Canada","British Columbia","",36236,"Williams Lake, Canada",52.18472222,-122.04444444,0,
1623602,16236,"YWL","Williams Lake Airport","Williams Lake, Canada","Canada","British Columbia","",36236,"Williams Lake, Canada",52.18333333,-122.05416667,1,
1623701,16237,"YWQ","Chute-Des-Passes Airport","Chute-Des-Passes, Canada","Canada","Quebec","",36425,"Chute-Des-Passes, Canada",49.88722222,-71.25388889,1,
1623801,16238,"YWR","White River Airport","White River, Canada","Canada","Ontario","",36238,"White River, Canada",48.58333333,-85.25000000,1,
1623901,16239,"YWY","Wrigley Airport","Wrigley, Canada","Canada","Northwest Territories","",36239,"Wrigley, Canada",63.21055556,-123.43861111,0,
1623902,16239,"YWY","Wrigley Airport","Wrigley, Canada","Canada","Northwest Territories","",36239,"Wrigley, Canada",63.20972222,-123.43666667,1,
1624001,16240,"YXC","Canadian Rockies International","Cranbrook, Canada","Canada","British Columbia","",36240,"Cranbrook, Canada",49.61222222,-115.78194444,1,
1624101,16241,"YXD","Industrial","Edmonton, Canada","Canada","Alberta","",36039,"Edmonton, Canada",53.56666667,-113.51666667,0,
1624102,16241,"YXD","Edmonton Municipal","Edmonton, Canada","Canada","Alberta","",36039,"Edmonton, Canada",53.57222222,-113.51333333,0,
1624103,16241,"YXD","Edmonton City Centre","Edmonton, Canada","Canada","Alberta","",36039,"Edmonton, Canada",53.57194444,-113.51944444,1,
1624201,16242,"YXE","John G Diefenbaker International","Saskatoon, Canada","Canada","Saskatchewan","",36242,"Saskatoon, Canada",52.16666667,-106.68333333,0,
1624202,16242,"YXE","John G Diefenbaker International","Saskatoon, Canada","Canada","Saskatchewan","",36242,"Saskatoon, Canada",52.17083333,-106.69972222,1,
1624301,16243,"YXH","Medicine Hat Airport","Medicine Hat, Canada","Canada","Alberta","",36243,"Medicine Hat, Canada",50.01583333,-110.72083333,0,
